p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
SNX10 3.36917504341998e-15 0.303205376363528 0.288 0.084 1.10300052571483e-10 5 SNX10
RNF1811 3.48094019158817e-15 0.395548644931984 0.506 0.199 1.13959019992214e-10 5 RNF181
LSP1 3.59700146968873e-15 0.507238906168326 0.856 0.526 1.1775863411467e-10 5 LSP1
VAMP51 4.24189494231406e-15 0.420765333367677 0.5 0.207 1.38871156621478e-10 5 VAMP5
FLNA1 4.40610545787412e-15 0.257865281710541 0.5 0.194 1.44247080479883e-10 5 FLNA
NUP2141 4.46821645651156e-15 0.345702641834262 0.375 0.13 1.46280470353275e-10 5 NUP214
SNX21 5.10429924762765e-15 0.282676509757231 0.512 0.195 1.67104548768834e-10 5 SNX2
NCKAP1L 5.79494685615827e-15 0.361032253515199 0.306 0.094 1.89714970176909e-10 5 NCKAP1L
RABGAP1L 6.29448923285645e-15 0.365895399466941 0.281 0.084 2.06068988505254e-10 5 RABGAP1L
TUBA1A 7.10938955355454e-15 0.50247498182586 0.781 0.442 2.32747195204269e-10 5 TUBA1A
S100A101 9.95473070535785e-15 0.389496687686388 0.938 0.623 3.25897973832005e-10 5 S100A10
SLC25A51 1.03305408822006e-14 0.427175587293264 0.819 0.49 3.38201247401483e-10 5 SLC25A5
NUDT3 1.05642693643817e-14 0.300710900105198 0.256 0.072 3.45853050451127e-10 5 NUDT3
TCEB21 1.15871620352798e-14 0.432398507984279 0.788 0.469 3.79340510710992e-10 5 TCEB2
H2AFY1 1.24344150987605e-14 0.534334335297076 0.612 0.278 4.0707788150322e-10 5 H2AFY
MYO1F2 1.61850436492087e-14 0.40205823674854 0.519 0.219 5.29865958987794e-10 5 MYO1F
VMA21 1.65125681165795e-14 0.324353889737398 0.262 0.075 5.40588455000579e-10 5 VMA21
HIGD2A1 1.77774274796165e-14 0.514812791169124 0.838 0.473 5.81997420827685e-10 5 HIGD2A
ATP5B 1.81176152124598e-14 0.418228846543539 0.744 0.385 5.9313448682551e-10 5 ATP5B
PSMB9 1.99476389750032e-14 0.425945859180503 0.894 0.566 6.53045804763654e-10 5 PSMB9
MOB1A 2.03173607570987e-14 0.405160516184921 0.45 0.18 6.65149756465898e-10 5 MOB1A
M6PR 2.40036649869433e-14 0.491849208922905 0.488 0.205 7.8583198434255e-10 5 M6PR
VPS29 2.45190929457282e-14 0.489911978227992 0.456 0.181 8.0270606485725e-10 5 VPS29
TMEM179B 2.89651459295849e-14 0.35925326059207 0.4 0.146 9.48260947442751e-10 5 TMEM179B
CAPZB 3.29447185793115e-14 0.34719586940891 0.844 0.542 1.0785441968495e-09 5 CAPZB
GNB21 4.17075442221822e-14 0.376766438219697 0.562 0.248 1.3654215827458e-09 5 GNB2
REEP51 5.09555819153488e-14 0.59853157550374 0.55 0.244 1.66818384074469e-09 5 REEP5
SCO21 5.90914967483279e-14 0.371535818507688 0.344 0.12 1.93453742054676e-09 5 SCO2
SCPEP11 6.39069083708254e-14 0.31823123659472 0.35 0.123 2.09218436624408e-09 5 SCPEP1
SDCBP1 8.16082692541267e-14 0.402046041695605 0.519 0.226 2.6716915188416e-09 5 SDCBP
LYSMD2 8.43095137940179e-14 0.429224081428376 0.462 0.182 2.76012486258856e-09 5 LYSMD2
ARHGDIB 9.09108212801578e-14 0.310026308865328 0.994 0.91 2.97623846706981e-09 5 ARHGDIB
SNX31 9.76646349032254e-14 0.298606718848273 0.819 0.444 3.19734481746179e-09 5 SNX3
CYTIP 1.00064743424894e-13 0.315776089352043 0.669 0.321 3.27591957024417e-09 5 CYTIP
AKIRIN2 1.00779380621229e-13 0.255818685614972 0.344 0.115 3.29931536277778e-09 5 AKIRIN2
UBE2L61 1.03666286946848e-13 0.290096815664013 0.681 0.324 3.3938269020659e-09 5 UBE2L6
CLIC11 1.3816914011739e-13 0.351278815846169 0.919 0.628 4.5233813091631e-09 5 CLIC1
TSPAN14 1.40823045891898e-13 0.308869064544252 0.306 0.099 4.61026487640897e-09 5 TSPAN14
GDI2 1.56317619311765e-13 0.413691791059971 0.606 0.285 5.11752622102857e-09 5 GDI2
COX6B11 1.69052344313264e-13 0.367754417874134 0.869 0.557 5.53443564812764e-09 5 COX6B1
CSK 1.71845648188473e-13 0.368491423476054 0.488 0.203 5.62588283039423e-09 5 CSK
TPM3 2.0325187768319e-13 0.583278867283769 0.794 0.455 6.65405997159226e-09 5 TPM3
GBP2 2.15201030888505e-13 0.359726976781167 0.45 0.18 7.04525134922788e-09 5 GBP2
CDKN2D 2.25517046988304e-13 0.27841787318321 0.488 0.205 7.38297708430309e-09 5 CDKN2D
NOP101 3.32538709894288e-13 0.550564129555796 0.562 0.278 1.08866522845192e-08 5 NOP10
BAX 3.4558362610931e-13 0.465748255006579 0.638 0.285 1.13137167515666e-08 5 BAX
APLP21 5.19546751795717e-13 0.319399765102 0.4 0.151 1.70089215602882e-08 5 APLP2
EIF4A11 5.62957139537921e-13 0.291517644159936 0.931 0.669 1.84300908341925e-08 5 EIF4A1
SNAP23 7.52661776529897e-13 0.301280591762301 0.356 0.13 2.46406412400358e-08 5 SNAP23
CTSH1 1.00340018302677e-12 0.278052679134481 0.419 0.162 3.28493151919305e-08 5 CTSH
KLF3 1.27872453470369e-12 0.304556018813818 0.288 0.096 4.18628838171295e-08 5 KLF3
PSMA4 2.40020378712714e-12 0.300153330166563 0.35 0.129 7.85778715829682e-08 5 PSMA4
GLIPR11 2.40327062715594e-12 0.310686834300697 0.462 0.191 7.86782737918313e-08 5 GLIPR1
ACTR2 2.93434902589187e-12 0.271790501701177 0.438 0.177 9.6064718409648e-08 5 ACTR2
PARVG1 3.32428980912339e-12 0.295042187202668 0.369 0.139 1.08830599771081e-07 5 PARVG
UBE2J1 3.82146778896806e-12 0.289328960923604 0.294 0.103 1.25107212475236e-07 5 UBE2J1
PTPN18 4.12780753543261e-12 0.315779335687277 0.344 0.129 1.35136163094993e-07 5 PTPN18
TGFB11 4.60201917986371e-12 0.280790625354881 0.444 0.184 1.50660903910378e-07 5 TGFB1
CD971 5.01762145523916e-12 0.397659138024186 0.481 0.209 1.6426689120162e-07 5 CD97
POMP 5.43329179502929e-12 0.268232191857189 0.375 0.143 1.77875106785669e-07 5 POMP
LAMTOR21 5.43524584094292e-12 0.294066570482625 0.481 0.207 1.77939078340789e-07 5 LAMTOR2
CTSD1 6.34332644581608e-12 0.287492431523722 0.512 0.225 2.07667821183127e-07 5 CTSD
GNG2 6.44735184283016e-12 0.251257730539634 0.319 0.112 2.11073404630574e-07 5 GNG2
ATP2B1 8.23740999123894e-12 0.261984476695138 0.269 0.089 2.6967632829318e-07 5 ATP2B1
SH3GLB1 8.82158130193713e-12 0.273166891076844 0.344 0.129 2.88800928662818e-07 5 SH3GLB1
ETFA 9.65162547304678e-12 0.253183712985916 0.331 0.121 3.15974914736606e-07 5 ETFA
LAMTOR51 9.79049267009406e-12 0.27776168814231 0.562 0.262 3.20521149033539e-07 5 LAMTOR5
IL10RB 1.10393753370105e-11 0.278839021783701 0.281 0.096 3.61407069783051e-07 5 IL10RB
PRDX51 1.16201053998574e-11 0.274510530706968 0.675 0.334 3.80419010580531e-07 5 PRDX5
LAPTM4A 1.19883487244564e-11 0.37185352451768 0.462 0.209 3.92474560541254e-07 5 LAPTM4A
GNAI3 1.57046141245045e-11 0.294513876606264 0.344 0.131 5.14137657208029e-07 5 GNAI3
SLC25A61 1.63603394449255e-11 0.277208153213302 0.969 0.824 5.35604792747971e-07 5 SLC25A6
POLR3K 1.64044059006676e-11 0.270366094271295 0.281 0.098 5.37047440376057e-07 5 POLR3K
ATP5J21 1.64332320381013e-11 0.319399475146763 0.631 0.305 5.37991150463362e-07 5 ATP5J2
DBNL 1.8635498230555e-11 0.28104901789276 0.512 0.225 6.10088941071911e-07 5 DBNL
PKN1 3.77445407016285e-11 0.325058357866418 0.3 0.111 1.23568077348991e-06 5 PKN1
EVI2B 4.11190094781923e-11 0.288839263055108 0.625 0.308 1.34615413229706e-06 5 EVI2B
NDUFA131 4.60393766812094e-11 0.416377978486033 0.731 0.444 1.50723711378943e-06 5 NDUFA13
WAS 5.5437556672974e-11 0.264544443891012 0.469 0.205 1.81491473035982e-06 5 WAS
DEDD2 5.72004203127094e-11 0.293037989907185 0.3 0.111 1.87262736019748e-06 5 DEDD2
ARL6IP4 6.0857598207943e-11 0.306452674299042 0.819 0.481 1.99235605013164e-06 5 ARL6IP4
COX5A1 7.26472824893424e-11 0.268011760476662 0.638 0.337 2.37832673413609e-06 5 COX5A
ATP1A1 9.09709287293854e-11 0.438462567249827 0.419 0.178 2.97820626474262e-06 5 ATP1A1
RTN4 9.37503075232674e-11 0.653156141821621 0.481 0.227 3.06919756769673e-06 5 RTN4
MLX 9.40809169019957e-11 0.368405608851106 0.294 0.107 3.08002105753754e-06 5 MLX
HCLS1 9.49860717203619e-11 0.375177422821942 0.688 0.368 3.10965401598121e-06 5 HCLS1
C7orf73 1.01667108491836e-10 0.269885884228195 0.4 0.167 3.32837779780573e-06 5 C7orf73
VDAC1 1.05578993915448e-10 0.334418076222869 0.444 0.199 3.45644510280394e-06 5 VDAC1
BRK11 1.20300769828223e-10 0.37481527364516 0.831 0.535 3.93840660263637e-06 5 BRK1
SPG211 1.42845577269889e-10 0.291516176574652 0.388 0.163 4.67647850866162e-06 5 SPG21
RAP1B1 2.18874247391868e-10 0.295165448065016 0.65 0.345 7.16550511111497e-06 5 RAP1B
PMVK 2.49722933730786e-10 0.457080495942715 0.338 0.133 8.17542940447848e-06 5 PMVK
PPT11 2.91728504739492e-10 0.40516813460374 0.412 0.179 9.55060778816147e-06 5 PPT1
IDH2 2.92744262824244e-10 0.631386955211913 0.394 0.17 9.5838616763401e-06 5 IDH2
PRR13 3.27279978536529e-10 0.295977732591835 0.762 0.467 1.07144919373289e-05 5 PRR13
EIF6 3.30151457247578e-10 0.278250088187659 0.462 0.21 1.08084984073712e-05 5 EIF6
MRPL27 4.45597153707012e-10 0.26205004857026 0.256 0.092 1.45879596180602e-05 5 MRPL27
SHKBP11 4.71639918257512e-10 0.299756969511709 0.362 0.153 1.54405476439144e-05 5 SHKBP1
GNB1 4.93334278635609e-10 0.258710020418033 0.288 0.108 1.61507776139726e-05 5 GNB1
CLTA1 4.97292234517913e-10 0.316348086481429 0.562 0.275 1.62803531736474e-05 5 CLTA
NDUFB5 5.86400107950325e-10 0.521765602242799 0.438 0.199 1.91975667340777e-05 5 NDUFB5
MIDN 6.59078747068332e-10 0.355083928544334 0.262 0.097 2.15769200215231e-05 5 MIDN
PPDPF 6.68761516495953e-10 0.268778098598413 0.95 0.801 2.18939145270445e-05 5 PPDPF
WDR1 6.97874837735006e-10 0.36839495864267 0.512 0.247 2.28470264377686e-05 5 WDR1
PRDX1 7.70576762425392e-10 0.514972587256377 0.562 0.289 2.52271420482825e-05 5 PRDX1
ERP44 8.49488678156915e-10 0.28253440416389 0.381 0.163 2.78105603455011e-05 5 ERP44
PGAM11 1.32146755810523e-09 0.270692762992335 0.481 0.221 4.3262204917249e-05 5 PGAM1
PLSCR11 1.58354133862202e-09 0.262593341569063 0.319 0.13 5.18419763438078e-05 5 PLSCR1
TIMM8B 1.61878212904073e-09 0.307506240048605 0.269 0.101 5.29956893405356e-05 5 TIMM8B
PSMA71 1.9071059065858e-09 0.312202541381295 0.869 0.544 6.2434833169806e-05 5 PSMA7
RAB5C 1.9389919992613e-09 0.387757245838224 0.538 0.266 6.34787200718164e-05 5 RAB5C
MT-CO2 1.95711166814445e-09 0.381537711920169 0.975 0.906 6.40719217917131e-05 5 MT-CO2
GCA1 2.00056289566705e-09 0.621329756199208 0.3 0.12 6.54944280783478e-05 5 GCA
MTPN 2.40093241121954e-09 0.257482801767324 0.3 0.12 7.86017252785054e-05 5 MTPN
CORO1A 5.17179562803501e-09 0.268692408299723 0.981 0.795 0.00016931424527061 5 CORO1A
WDR83OS1 8.04024543386104e-09 0.255565218021361 0.619 0.329 0.000263221555013743 5 WDR83OS
ABRACL 8.59030333688274e-09 0.348375286797805 0.519 0.267 0.000281229350642867 5 ABRACL
ZNHIT3 8.83878502920264e-09 0.473688346029798 0.362 0.161 0.000289364144286036 5 ZNHIT3
SLC25A3 1.12600558973064e-08 0.291681824592282 0.819 0.507 0.000368631709966016 5 SLC25A3
NMI 1.17489683757316e-08 0.264019925423616 0.362 0.163 0.000384637726684702 5 NMI
ERICH1 1.24390075592604e-08 0.28441737190483 0.269 0.105 0.000407228229475066 5 ERICH1
SELK 1.39134620109669e-08 0.287065698032023 0.55 0.276 0.000455498919315035 5 SELK
SSR31 1.61596769308069e-08 0.322454702857317 0.369 0.169 0.000529035503360755 5 SSR3
SERPINB61 1.73796809876049e-08 0.260128252016663 0.394 0.181 0.000568975996172209 5 SERPINB6
YWHAE 1.77505989060559e-08 0.3000898545222 0.312 0.132 0.000581119106986458 5 YWHAE
SRI 1.96433930180245e-08 0.30875602165796 0.494 0.253 0.000643085400624086 5 SRI
ATP5C1 2.68998741893745e-08 0.258185534935734 0.569 0.294 0.000880648081211743 5 ATP5C1
SYTL1 3.67585593624511e-08 0.269659860864833 0.35 0.157 0.00120340171640792 5 SYTL1
STX71 3.68042731613858e-08 0.340401266338937 0.281 0.115 0.00120489829475745 5 STX7
CCDC12 3.90266009031708e-08 0.484864130415991 0.475 0.233 0.00127765286036801 5 CCDC12
ATP5G3 4.03792384996346e-08 0.33377355218133 0.706 0.414 0.00132193551000104 5 ATP5G3
YWHAH 4.72015174986859e-08 0.260181867865386 0.381 0.186 0.00154528327987198 5 YWHAH
RAB18 5.10825622396862e-08 0.252583201386662 0.275 0.116 0.00167234092260285 5 RAB18
LCP1 5.21918767118207e-08 0.331986971391401 0.644 0.37 0.00170865765979159 5 LCP1
PRKCB1 5.87337265290188e-08 0.507406681249211 0.3 0.13 0.00192282473910702 5 PRKCB
ATP5E1 7.15886748226009e-08 0.254575945869572 0.95 0.74 0.00234367003634231 5 ATP5E
MRPL18 7.16158966180747e-08 0.390496275961914 0.394 0.182 0.00234456122348253 5 MRPL18
SEPT9 7.26374033158633e-08 0.25853123603528 0.581 0.323 0.00237800330975473 5 SEPT9
FIBP1 1.05370708651726e-07 0.261658329833759 0.344 0.161 0.00344962625984021 5 FIBP
CYTH4 1.23506406473645e-07 0.463015297961323 0.281 0.122 0.00404335273513421 5 CYTH4
TBCB 1.76473603495483e-07 0.332993473395451 0.544 0.292 0.00577739283123513 5 TBCB
COX7A2 1.77955916574328e-07 0.285037201243908 0.656 0.384 0.00582592079681036 5 COX7A2
ICAM2 1.87836690677288e-07 0.278604663957058 0.45 0.226 0.00614939757939304 5 ICAM2
PSMD4 1.94091754983756e-07 0.284755376132842 0.525 0.27 0.00635417587465819 5 PSMD4
CALM3 2.25443048488379e-07 0.360512361040969 0.619 0.347 0.00738055452141255 5 CALM3
ARF51 2.26990894269959e-07 0.292172779401649 0.519 0.284 0.00743122789660992 5 ARF5
UBE2B 2.27862260047402e-07 0.46784609000408 0.319 0.141 0.00745975466943185 5 UBE2B
ATP5EP21 2.4377088344641e-07 0.26305946068978 0.506 0.268 0.00798057118226857 5 ATP5EP2
BST21 4.29126485881249e-07 0.269243670978839 0.744 0.43 0.0140487428947803 5 BST2
CRIP11 6.02898531143205e-07 0.260115389959437 0.6 0.356 0.0197376921125663 5 CRIP1
RNF213 6.18840565761791e-07 0.352952735511575 0.425 0.215 0.0202596024419095 5 RNF213
NDUFS71 6.48649080725983e-07 0.267373574821403 0.512 0.279 0.0212354736048072 5 NDUFS7
NDUFB6 7.80586921117429e-07 0.427337161311214 0.275 0.122 0.0255548546235424 5 NDUFB6
ADAR 1.2932267637332e-06 0.377562068163758 0.344 0.171 0.0423376577910977 5 ADAR
GLUD1 1.6712393177547e-06 0.290212440098676 0.269 0.12 0.0547130327846533 5 GLUD1
LSMD11 1.9718687021954e-06 0.270151218387523 0.344 0.165 0.0645550375724731 5 LSMD1
AHNAK1 6.21072703181339e-06 0.263576440991337 0.481 0.262 0.203326781567507 5 AHNAK
OSTF1 8.4504446932222e-06 0.295580698543376 0.506 0.298 0.276650658366708 5 OSTF1
PSMC4 9.51791235310198e-06 0.287174367313567 0.325 0.159 0.311597414615852 5 PSMC4
TCF25 1.15106363906547e-05 0.294804348132423 0.438 0.243 0.376835214157253 5 TCF25
RBCK1 1.94741688306808e-05 0.278542689829558 0.375 0.198 0.637545339178826 5 RBCK1
SNX17 3.31967925100088e-05 0.360998356809761 0.381 0.208 1 5 SNX17
DCTN3 5.35170830333151e-05 0.314104702021021 0.406 0.222 1 5 DCTN3
RALY 0.000210135200906945 0.262879360954365 0.394 0.217 1 5 RALY
SIVA1 0.00117869999578418 0.333357058339896 0.362 0.213 1 5 SIVA1
YPEL5 0.00217276319094494 0.311999573115018 0.519 0.326 1 5 YPEL5
C1orf63 0.00228503672829204 0.325959511042307 0.3 0.173 1 5 C1orf63
SMIM7 0.00285619072627092 0.39163629443106 0.269 0.155 1 5 SMIM7
CCT7 0.00358975145937434 0.250608488270793 0.306 0.188 1 5 CCT7
GZMB1 2.29545803691814e-262 3.38648668204738 0.993 0.072 7.5148705212626e-258 6 GZMB
FGFBP21 2.81315899345319e-239 2.86140147112233 0.921 0.064 9.20971991276704e-235 6 FGFBP2
SPON2 5.87780263343662e-224 2.33976173970089 0.771 0.041 1.92427502613448e-219 6 SPON2
PRF11 1.26200467527809e-198 2.79142285819273 0.971 0.11 4.13155090592541e-194 6 PRF1
AKR1C3 1.32215440778763e-188 1.68596182877449 0.507 0.014 4.32846910021515e-184 6 AKR1C3
GNLY1 2.19571233798726e-172 3.38274984739341 0.964 0.136 7.18832305210269e-168 6 GNLY
CLIC3 1.02726149845433e-171 1.94554635324644 0.6 0.03 3.36304869363978e-167 6 CLIC3
KLRD1 2.24091104551142e-151 1.5902655147041 0.564 0.032 7.3362945807953e-147 6 KLRD1
CST71 2.59929756471127e-149 2.290387307105 0.971 0.153 8.50958036735177e-145 6 CST7
GZMA1 4.34904481202832e-145 2.18653789202971 0.957 0.155 1.42379029056183e-140 6 GZMA
CCL41 9.48046079777874e-145 2.56637703635133 0.757 0.078 3.1037132559768e-140 6 CCL4
XCL2 5.98443462927013e-144 1.63910616037136 0.514 0.026 1.95918420893045e-139 6 XCL2
TTC38 1.33899343215593e-139 1.51110386369677 0.486 0.024 4.38359669819207e-135 6 TTC38
PRSS23 7.30592472306999e-133 1.28756879461889 0.421 0.016 2.39181363583865e-128 6 PRSS23
NKG71 1.2457554993087e-128 2.80235105833714 1 0.259 4.07835435363682e-124 6 NKG7
FCGR3A1 2.46372770311354e-115 1.62923020546148 0.886 0.147 8.0657517544531e-111 6 FCGR3A
IGFBP7 2.67302968083394e-114 2.05970616235693 0.586 0.058 8.75096456911416e-110 6 IGFBP7
GZMH1 8.86138787739424e-112 1.64242091303611 0.657 0.069 2.90104116330133e-107 6 GZMH
CTSW1 1.17405486187048e-111 1.97175060347315 0.986 0.261 3.84362080679156e-107 6 CTSW
SH2D1B 4.262017101113e-108 1.03143195976999 0.3 0.008 1.39529915856237e-103 6 SH2D1B
APMAP1 2.7812172838172e-95 1.44155622604171 0.657 0.093 9.10514914376074e-91 6 APMAP
S1PR5 3.11644479253931e-95 1.16147754968122 0.393 0.025 1.02026169618152e-90 6 S1PR5
GPR56 1.16409494074784e-91 1.14883110279051 0.343 0.018 3.81101401702029e-87 6 GPR56
XCL1 1.31713980439287e-91 1.07527866437515 0.329 0.016 4.31205229162137e-87 6 XCL1
CD2471 7.75088994776649e-91 1.96573746662266 0.871 0.234 2.53748635109979e-86 6 CD247
GZMM1 1.18323431294071e-84 1.57088666035097 0.843 0.211 3.8736724937053e-80 6 GZMM
KLRF1 1.09962484686044e-83 0.949539220228881 0.264 0.01 3.59995182365171e-79 6 KLRF1
C1orf21 1.52489510672889e-82 1.01703553171977 0.314 0.017 4.99220160040903e-78 6 C1orf21
IL2RB 1.53696636864149e-82 1.24471478704496 0.45 0.044 5.03172049765852e-78 6 IL2RB
HOPX1 1.88836242666012e-75 1.63159287066669 0.65 0.12 6.1821209123999e-71 6 HOPX
MATK1 3.87202190317855e-73 1.11454952332723 0.443 0.049 1.26762253066259e-68 6 MATK
HAVCR2 2.15724301245426e-69 1.34447046592171 0.343 0.03 7.06238217417276e-65 6 HAVCR2
PLEKHF1 2.24683790939646e-69 1.0775199064855 0.35 0.03 7.35569794778214e-65 6 PLEKHF1
B2M1 4.8833368003716e-66 0.667514030385813 1 1 1.59870680170565e-61 6 B2M
HLA-C1 3.28040270701093e-65 0.850857396382801 1 0.98 1.07393823822124e-60 6 HLA-C
TBX21 5.22705172703986e-58 0.965888157874967 0.314 0.03 1.71123219439831e-53 6 TBX21
CD73 1.14486581154472e-55 1.29686078145753 0.871 0.339 3.74806169383511e-51 6 CD7
PTGDR 8.52657127266117e-55 1.32801108737617 0.314 0.032 2.79142890324381e-50 6 PTGDR
TPST21 2.43318471429133e-51 1.11108482089466 0.55 0.121 7.96576011764696e-47 6 TPST2
FCRL6 3.21415328318627e-51 0.86086163469591 0.264 0.023 1.05224950184952e-46 6 FCRL6
HLA-A1 3.84419173009472e-50 0.787045113180186 1 0.964 1.25851148859841e-45 6 HLA-A
PLAC81 5.04932631447858e-50 1.26047642578721 0.879 0.435 1.653048448834e-45 6 PLAC8
CTSC2 2.28877081286933e-44 1.03065673838852 0.714 0.243 7.49297788717161e-40 6 CTSC
HLA-B1 2.90906336340214e-44 0.673833739198872 1 0.945 9.52369163910592e-40 6 HLA-B
UBB1 4.96479275195529e-43 0.945950912702346 0.964 0.772 1.62537385113512e-38 6 UBB
ITGB22 1.0145159002902e-42 1.19191295660236 0.85 0.45 3.32132215437005e-38 6 ITGB2
CD631 2.58347725097319e-40 1.16738148578528 0.75 0.322 8.45778782423603e-36 6 CD63
RHOC1 2.86977439348563e-38 0.938033160879727 0.586 0.166 9.39506740939327e-34 6 RHOC
RARRES31 2.87732816163177e-38 0.979884119105354 0.843 0.451 9.41979693555007e-34 6 RARRES3
SRGN2 3.33362330946203e-38 0.880697607908497 0.929 0.58 1.09136159905168e-33 6 SRGN
NCR31 5.06472496896187e-38 0.958201221389111 0.4 0.077 1.65808966033874e-33 6 NCR3
CX3CR11 8.89226904809619e-38 0.941784944164659 0.35 0.061 2.91115104096573e-33 6 CX3CR1
C12orf751 2.56127550260554e-37 1.03140348387952 0.479 0.118 8.38510374043002e-33 6 C12orf75
ID21 3.18274481263963e-36 1.01569755603208 0.807 0.364 1.04196699676196e-31 6 ID2
CCL51 3.94542046231247e-35 1.29278680886883 0.721 0.294 1.29165175095186e-30 6 CCL5
PFN12 1.31826623625613e-34 0.675670810672147 0.993 0.943 4.31574000425533e-30 6 PFN1
ARPC5L1 2.02206097105707e-34 1.23235849970124 0.536 0.167 6.61982320704662e-30 6 ARPC5L
EFHD22 1.85284779505463e-33 0.958980810622751 0.543 0.174 6.06585311144986e-29 6 EFHD2
SAMD31 2.92122667726461e-33 1.25736126076684 0.421 0.1 9.56351189602889e-29 6 SAMD3
APOBEC3G1 2.07736480381658e-32 0.965842819393102 0.571 0.197 6.80087689473473e-28 6 APOBEC3G
RAP1B2 3.51837186005297e-32 0.893029080723422 0.729 0.343 1.15184457954414e-27 6 RAP1B
FCER1G2 7.31621747409736e-32 0.707077770164677 0.857 0.33 2.39518327666999e-27 6 FCER1G
CD991 1.02272736665841e-31 0.883040901618919 0.829 0.488 3.3482048529663e-27 6 CD99
PLEK2 2.34793281771475e-31 1.01644108042312 0.5 0.152 7.68666245863454e-27 6 PLEK
MYL12A2 1.82664896042669e-29 0.65925833780616 0.986 0.868 5.98008336664491e-25 6 MYL12A
HLA-E1 4.58448305410747e-29 0.735508295445269 0.971 0.883 1.5008680622537e-24 6 HLA-E
PTPRCAP2 4.95142935184617e-29 0.70856047233575 0.9 0.627 1.6209989412074e-24 6 PTPRCAP
ZAP701 8.92233145147954e-28 0.799342685287226 0.436 0.127 2.92099287058537e-23 6 ZAP70
ABHD17A 1.01515506282783e-27 0.802813170616002 0.271 0.05 3.32341464468575e-23 6 ABHD17A
CHST121 1.09243211416631e-27 1.03095242132388 0.386 0.102 3.57640425535766e-23 6 CHST12
ASCL2 1.79104886528344e-27 0.786588334745406 0.279 0.054 5.86353577516493e-23 6 ASCL2
CFL11 1.90278092195227e-27 0.536802324150954 0.993 0.912 6.22932418228735e-23 6 CFL1
PDIA31 2.92915988055289e-27 0.871082592794242 0.657 0.32 9.58948361695407e-23 6 PDIA3
ALOX5AP1 4.61060432797224e-27 1.0986861900899 0.557 0.217 1.50941964489155e-22 6 ALOX5AP
HCST1 2.36309586272351e-26 0.881509619172182 0.814 0.525 7.73630323538424e-22 6 HCST
C5orf56 7.65200085711839e-26 0.863981830788678 0.393 0.11 2.50511204060342e-21 6 C5orf56
IFITM12 8.25988897830785e-26 0.909051142217806 0.779 0.46 2.70412245371842e-21 6 IFITM1
CLIC12 9.0949017128021e-26 0.823450012143278 0.893 0.631 2.97748892273715e-21 6 CLIC1
CCL31 2.27064708351791e-25 1.32535823405746 0.421 0.124 7.43364442202093e-21 6 CCL3
AOAH 6.90692509616445e-25 0.847954414703705 0.386 0.112 2.26118913798232e-20 6 AOAH
CD300A1 1.16438290034223e-24 0.941113959705443 0.386 0.113 3.81195673914039e-20 6 CD300A
PPP1R181 2.43966941394196e-24 0.932364370804261 0.593 0.267 7.98698972736319e-20 6 PPP1R18
RAC2 3.12960271691293e-24 0.873257028777023 0.871 0.64 1.02456933746295e-19 6 RAC2
ABI31 3.14372405286578e-23 0.84717843941849 0.457 0.161 1.0291923804272e-18 6 ABI3
IFITM21 4.5016473868365e-23 0.663060972703875 0.921 0.697 1.47374932150253e-18 6 IFITM2
LITAF1 1.00235704069959e-22 0.828502371648664 0.614 0.295 3.28151647984231e-18 6 LITAF
BST22 1.19310797325446e-22 0.714866154665024 0.75 0.432 3.90599688284047e-18 6 BST2
MYO1F3 1.57814929072682e-22 0.878300420275519 0.536 0.221 5.16654514798147e-18 6 MYO1F
CALM12 2.9657473825624e-22 0.675104217782426 0.879 0.667 9.70926378103278e-18 6 CALM1
PSMB10 3.41275595256284e-22 0.840097730306698 0.65 0.339 1.11726804375002e-17 6 PSMB10
UBE2F1 4.47770054603979e-22 0.739445705005714 0.386 0.12 1.46590960476251e-17 6 UBE2F
CD532 5.30839144658692e-22 0.766047223445955 0.829 0.532 1.73786119178363e-17 6 CD53
TYROBP2 7.04695718693012e-22 0.297825811489983 0.914 0.369 2.30703284385718e-17 6 TYROBP
ARL4C1 3.89905964757329e-21 0.851777113787359 0.471 0.183 1.27647414742254e-16 6 ARL4C
XBP11 1.11247202594808e-20 1.03286719985005 0.571 0.27 3.64201091854883e-16 6 XBP1
DHRS71 1.61207253837569e-19 0.831582096453728 0.586 0.305 5.27760307613434e-15 6 DHRS7
ARPC22 6.95244605244736e-19 0.520196211512001 0.921 0.795 2.27609178865022e-14 6 ARPC2
ACTB2 2.54100671332209e-18 0.468478746013972 1 0.992 8.31874777807385e-14 6 ACTB
SEPT71 5.30467428495023e-18 0.863829727371937 0.6 0.325 1.73664426740701e-13 6 SEPT7
CTSD2 7.6358033412379e-18 0.685969280665198 0.514 0.227 2.49980929785446e-13 6 CTSD
ANXA61 9.27612757420496e-18 0.646325390886685 0.564 0.281 3.03681864524322e-13 6 ANXA6
TXNIP2 1.85611438130925e-17 0.581488242576922 0.871 0.753 6.07654726153022e-13 6 TXNIP
SERF22 4.33403223121516e-17 0.467840721311787 0.943 0.851 1.41887547185522e-12 6 SERF2
SDF4 8.27713748712934e-17 0.717104640579188 0.336 0.114 2.7097692705364e-12 6 SDF4
BIN21 1.2887647846454e-16 0.873183053945523 0.614 0.356 4.2191581519721e-12 6 BIN2
